active_time	online_time	num_message	ave_message	ave_time_inter	median_time_inter	ave_message_reply	num_platform	num_short_time_inter	num_receiver_age	num_reply_message	num_reply_user	num_user_to	reply_percent	periodic_pvalue	cluster
20222	20222	1680	10.3067484662577	12.0440738534842	0	9.97546012269939	1	1516	1	1626	163	163	1	2.71396375151056e-07	4
20355	20355	1655	10.1533742331288	12.3065296251511	0	9.95092024539877	1	1492	1	1622	163	163	1	2.05393757095607e-05	4
20341	20341	1640	10.0613496932515	12.4106162294082	0	10	1	1476	1	1630	163	163	1	2.14006601328975e-09	4
20316	20316	1640	10.0613496932515	12.3953630262355	0	10	1	1476	1	1630	163	163	1	2.49381190930986e-06	4
20271	20271	1640	10.0613496932515	12.3679072605247	0	10.1042944785276	1	1478	1	1647	163	163	1	3.17874884470104e-06	4
20340	20340	1635	10.0306748466258	12.4479804161567	0	10	1	1472	1	1630	163	163	1	9.97864934348947e-06	4
20397	20397	1630	10	12.5211786372007	0	10	1	1466	1	1630	163	163	1	2.98653715091746e-08	4
20383	20383	1630	10	12.512584407612	0	10	1	1465	1	1630	163	163	1	4.89533180658697e-09	4
20383	20383	1630	10	12.512584407612	0	10	1	1467	1	1630	163	163	1	7.3032186342914e-07	4
20381	20381	1630	10	12.5113566605279	0	10	1	1467	1	1630	163	163	1	3.02658220707741e-08	4
20379	20379	1630	10	12.5101289134438	0	10	1	1466	1	1630	163	163	1	2.76552342959313e-06	4
20377	20377	1630	10	12.5089011663597	0	10	1	1466	1	1630	163	163	1	5.02060535800819e-06	4
20290	20290	1635	10.0306748466258	12.4173806609547	0	10	1	1471	1	1630	163	163	1	4.4510116077312e-06	4
20358	20358	1630	10	12.4972375690608	0	10	1	1466	1	1630	163	163	1	8.95213779772419e-08	4
20386	20386	1630	10	12.5144260282382	0	10	1	1466	1	1630	163	163	1	1.6275727269921e-05	4
20354	20354	1630	10	12.4947820748926	0	10	1	1466	1	1630	163	163	1	2.93483226809776e-06	4
20352	20352	1630	10	12.4935543278085	0	10	1	1466	1	1630	163	163	1	3.17261786375589e-06	4
20340	20340	1630	10	12.4861878453039	0	10	1	1466	1	1630	163	163	1	5.34847907407432e-07	4
20363	20363	1630	10	12.500306936771	0	10	1	1466	1	1630	163	163	1	1.27987383540251e-05	4
20339	20339	1630	10	12.4855739717618	0	10	1	1466	1	1630	163	163	1	1.55546898461534e-06	4
20369	20369	1628	9.98773006134969	12.519360786724	0	9.98773006134969	1	1464	1	1628	163	163	1	2.09899085557019e-06	4
20356	20356	1630	10	12.4960098219767	0	10	1	1466	1	1630	163	163	1	1.21259663353745e-05	4
20350	20350	1630	10	12.4923265807244	0	10	1	1466	1	1630	163	163	1	1.17664200318668e-05	4
20340	20340	1630	10	12.4861878453039	0	9.99386503067485	1	1466	1	1629	163	163	1	8.01075572054444e-06	4
20264	20264	1635	10.0306748466258	12.4014687882497	0	10	1	1472	1	1630	163	163	1	1.09079954396796e-05	4
20337	20337	1629	9.99386503067485	12.4920147420147	0	9.99386503067485	1	1465	1	1629	163	163	1	5.64842929873244e-07	4
20325	20325	1630	10	12.4769797421731	0	10	1	1466	1	1630	163	163	1	3.28646202885086e-06	4
20319	20319	1630	10	12.4732965009208	0	10	1	1467	1	1630	163	163	1	3.55976255805857e-07	4
20325	20325	1630	10	12.4769797421731	0	10	1	1466	1	1630	163	163	1	4.17808302655143e-06	4
20314	20314	1630	10	12.4702271332106	0	10	1	1466	1	1630	163	163	1	1.40266744952378e-06	4
