active_time	online_time	num_message	ave_message	ave_time_inter	median_time_inter	ave_message_reply	ratio_male_contact	most_used_platform	num_platform	num_short_time_inter	num_receiver_age	num_reply_message	num_reply_user	num_user_to	reply_percent	periodic_pvalue	userid_from	bot
4345	4345	109	27.25	40.2314814814815	31.5	45.5	1	3	2	10	3	182	4	4	1	0.552628308448404	26873	0
24283	24283	191	19.1	127.805263157895	63	21.875	0.375	1	2	11	3	175	8	10	0.8	0.628537570541507	67735	0
10932	10932	23	5.75	496.909090909091	87.5	7	1	3	1	2	2	28	4	4	1	0.999168953806094	107820	0
1411	1411	53	8.83333333333333	27.1346153846154	16.5	12.3333333333333	1	3	1	11	3	74	6	6	1	0.589717827289192	135256	0
5778	5778	152	10.8571428571429	38.2649006622517	29	14.3076923076923	0.0714285714285714	3	1	8	4	186	13	14	0.928571428571429	0.55800021254682	58527	0
9235	9235	134	6.38095238095238	69.4360902255639	34	11.875	1	1	2	22	4	95	8	21	0.380952380952381	1	51775	0
9886	27453	42	7	669.585365853659	65	8.25	0.4	3	1	2	4	33	4	6	0.666666666666667	0.985361506715236	87037	0
1000	1000	8	8	142.857142857143	96	6	1	10	1	1	1	6	1	1	1	0.874876207310092	139624	0
12320	12320	332	25.5384615384615	37.2205438066465	25	23.125	1	1	2	71	1	185	8	13	0.615384615384615	0.997861410589921	101390	0
3926	3926	46	23	87.2444444444444	58	24	1	3	2	0	2	48	2	2	1	0.960602968677906	2419	0
20968	28366	125	7.35294117647059	228.758064516129	28.5	9.375	1	3	1	31	3	150	16	17	0.941176470588235	0.99476506244253	132634	0
9695	9695	189	2.39240506329114	51.5691489361702	9	5.61111111111111	1	9	1	100	6	101	18	79	0.227848101265823	0.95305165893534	86197	0
11847	11847	293	13.3181818181818	40.5719178082192	14	17.7727272727273	1	3	1	92	3	391	22	22	1	0.624332891402419	53886	0
22263	22263	502	3.66423357664234	44.437125748503	18	8	1	3	1	89	5	328	41	137	0.299270072992701	0.874355593513582	101502	1
NA	0	1	1	NA	NA	1	1	9	1	NA	1	1	1	1	1	1	51184	0
10970	10970	111	18.5	99.7272727272727	49.5	24	1	3	1	10	2	96	4	6	0.666666666666667	0.99999999999616	28935	0
2105	9546	28	5.6	353.555555555556	49	5.2	0.8	4	1	3	2	26	5	5	1	0.999999959388895	76371	0
20085	28037	129	14.3333333333333	219.0390625	44.5	12.4285714285714	1	4	1	36	3	87	7	9	0.777777777777778	0.984562187285309	55076	0
10258	18622	438	17.52	42.6132723112128	14	19.32	0.96	3	1	119	5	483	25	25	1	0.772798714807297	140015	0
2448	2448	39	7.8	64.4210526315789	46.5	9.5	1	1	1	1	3	19	2	5	0.4	0.124885047122352	75419	0
2558	2558	89	5.23529411764706	29.0681818181818	22	5.63636363636364	1	1	1	23	2	62	11	17	0.647058823529412	0.0444802741607679	39972	0
7990	7990	162	10.8	49.6273291925466	18	13.125	0.0714285714285714	4	1	55	3	105	8	15	0.533333333333333	0.98426534245185	78415	0
11938	11938	86	12.2857142857143	140.447058823529	24	25.3333333333333	1	3	1	10	3	76	3	7	0.428571428571429	1	139994	0
15798	24083	234	15.6	103.360515021459	27	23.8571428571429	0.8	3	1	13	5	334	14	15	0.933333333333333	0.590252955512685	23849	0
28797	28797	185	20.5555555555556	156.505434782609	24.5	24.1111111111111	1	9	1	59	3	217	9	9	1	0.405681756088918	108157	0
6994	6994	165	82.5	42.6463414634146	39.5	133	1	1	1	14	2	266	2	2	1	0.860291395049151	49851	0
28711	28711	883	2.62017804154303	32.5521541950113	20	3.72033898305085	1	4	1	250	5	439	118	337	0.350148367952522	0.218114551209023	73269	1
3286	3286	43	6.14285714285714	78.2380952380952	48.5	9	1	1	1	9	4	63	7	7	1	0.866133751807477	75310	0
12566	20331	284	3.22727272727273	71.8409893992933	18	4.21052631578947	1	4	1	118	3	80	19	88	0.215909090909091	0.704729046718613	9675	1
562	562	15	5	40.1428571428571	37	9	1	4	1	4	2	9	1	3	0.333333333333333	0.403521650873559	9903	0
982	982	18	1.63636363636364	57.7647058823529	28	5	1	4	1	2	3	5	1	11	0.0909090909090909	0.919552781466997	26968	0
28768	28768	142	4.3030303030303	204.028368794326	48	7.9	0.103448275862069	1	3	13	5	79	10	33	0.303030303030303	0.874458802591757	76457	0
889	889	23	1.91666666666667	40.4090909090909	26	2.75	1	9	1	4	2	11	4	12	0.333333333333333	0.981343408530343	139741	0
1982	1982	150	30	13.3020134228188	12	33.6	1	3	1	54	3	168	5	5	1	0.35511330032411	62233	0
5706	5706	280	280	20.4516129032258	8	NA	NA	1	1	161	0	0	0	1	0	0.817255674855002	15697	0
25299	25299	113	113	225.883928571429	91	110	1	3	1	3	1	110	1	1	1	0.981672635911616	112556	0
11900	11900	130	26	92.2480620155039	25	44.6666666666667	1	3	2	5	2	134	3	5	0.6	0.933772365438777	4592	0
1005	1005	52	10.4	19.7058823529412	15	11.8	1	1	1	10	3	59	5	5	1	0.488106544878535	54585	0
834	834	38	9.5	22.5405405405405	14	8.25	1	4	1	10	3	33	4	4	1	0.508671681097138	75094	0
3069	3069	115	5.22727272727273	26.9210526315789	16.5	10.5	1	9	1	36	4	63	6	22	0.272727272727273	0.447333475020509	50221	0
3748	3748	155	2.71929824561404	24.3376623376623	17	5.69230769230769	1	10	1	29	5	74	13	57	0.228070175438596	0.761096419020439	83329	0
26910	26910	403	22.3888888888889	66.9402985074627	21	25.2222222222222	1	3	1	117	4	227	9	18	0.5	0.97011133222268	29811	0
2551	2551	20	10	134.263157894737	37	7.5	0.5	1	1	0	2	15	2	2	1	0.999999486813632	38664	0
672	672	17	2.42857142857143	42	12	3.66666666666667	1	9	1	5	3	11	3	7	0.428571428571429	0.992953063202372	24542	0
7597	7597	121	4.65384615384615	63.3083333333333	25.5	8.14285714285714	1	9	1	20	5	57	7	26	0.269230769230769	0.991564486677106	104978	0
1701	1701	13	2.16666666666667	141.75	35	4	1	3	1	3	4	4	1	6	0.166666666666667	0.995171569165324	101973	0
15840	15840	117	16.7142857142857	136.551724137931	14	46	1	7	1	36	3	92	2	7	0.285714285714286	0.999992647951936	119352	0
638	27380	24	12	1190.4347826087	24	7.5	1	3	1	4	2	15	2	2	1	0.999709562856795	13485	0
26992	26992	178	3.63265306122449	152.497175141243	57	6.88888888888889	1	3	1	12	2	124	18	49	0.36734693877551	0.998085265823257	89650	0
495	495	25	5	20.625	16.5	6.75	0.75	3	1	6	2	27	4	5	0.8	0.242937294128258	83574	0
2865	2865	93	8.45454545454546	31.1413043478261	23.5	12	1	3	1	13	5	84	7	11	0.636363636363636	0.323259315024653	62058	0
28352	28352	141	1.98591549295775	202.514285714286	132.5	1.85483870967742	0.971830985915493	7	1	0	6	115	62	71	0.873239436619718	1.1703638058691e-11	135637	1
7437	7437	272	2.54205607476635	27.4428044280443	9	4.75	0.718446601941748	7	1	136	7	171	36	107	0.336448598130841	0.626799613728908	140142	0
2411	2411	22	22	114.809523809524	57	15	1	3	1	4	1	15	1	1	1	0.937446318978345	8833	0
3527	28783	24	1.71428571428571	1251.4347826087	130	2.25	1	3	1	1	3	9	4	14	0.285714285714286	0.910169966485969	75545	0
1255	28129	44	4.88888888888889	654.162790697674	17	3.66666666666667	1	3	1	12	3	11	3	9	0.333333333333333	1	71876	0
1668	1668	25	3.57142857142857	69.5	35	10	1	3	1	2	4	20	2	7	0.285714285714286	0.992319838638264	72169	0
7035	7035	27	13.5	270.576923076923	115.5	17	1	3	1	0	2	17	1	2	0.5	0.781076842622426	81768	0
28596	28596	94	31.3333333333333	307.483870967742	135	39	1	3	1	4	3	117	3	3	1	0.438785465527074	46873	0
2106	2106	58	58	36.9473684210526	32	43	1	4	1	9	1	43	1	1	1	0.45720886637127	25700	0
1136	1136	22	4.4	54.0952380952381	26	9	1	4	1	4	3	18	2	5	0.4	0.948104469692403	78132	0
16378	24323	273	17.0625	89.4227941176471	23	22.8125	1	3	2	24	4	365	16	16	1	1	67711	0
15070	15070	157	12.0769230769231	96.6025641025641	21	10.9230769230769	1	9	1	41	3	142	13	13	1	0.998460925638924	115638	0
27968	27968	451	23.7368421052632	62.1511111111111	9	17.6666666666667	0.263157894736842	1	2	233	4	318	18	19	0.947368421052632	0.592682876314116	19601	0
19831	19831	281	28.1	70.825	23	30.7777777777778	0.888888888888889	3	1	63	3	277	9	10	0.9	0.745864287631148	86410	0
11173	11173	99	2.60526315789474	114.010204081633	35.5	5.1	1	3	1	16	6	51	10	38	0.263157894736842	0.996883474672669	108729	0
28690	28690	329	6.32692307692308	87.469512195122	25	14.4545454545455	1	3	1	69	3	159	11	52	0.211538461538462	1	123262	0
407	407	17	2.42857142857143	25.4375	24.5	6	1	3	1	2	4	42	7	7	1	0.172855025725215	93869	0
5204	25528	76	2.62068965517241	340.373333333333	38	3.875	1	4	1	5	7	31	8	29	0.275862068965517	1	59803	0
2468	2468	88	17.6	28.367816091954	19	15.6	1	9	1	19	1	78	5	5	1	0.412034662975174	30908	0
1369	1369	78	19.5	17.7792207792208	12	19	1	3	1	30	3	57	3	4	0.75	0.80139230857948	67570	0
9921	24903	9	1.125	3112.875	125	2	1	3	2	0	4	2	1	8	0.125	0.686091901328692	44082	0
8174	8174	212	11.1578947368421	38.739336492891	16	18.1176470588235	0.944444444444444	1	1	60	5	308	17	19	0.894736842105263	0.230914360009339	85248	0
9282	9282	234	10.6363636363636	39.8369098712446	31	17.1111111111111	1	9	1	29	5	154	9	22	0.409090909090909	0.22610881681015	59520	0
10987	10987	133	13.3	83.2348484848485	53.5	22.875	0.1	2	1	12	1	183	8	10	0.8	0.455568266411241	81478	0
